module,subsystem,language,tech_stack,bug_type,severity
reporting,database,Go,SpringBoot,security,high
database,auth_sub,Java,PostgreSQL,performance,high
analytics,auth_sub,JavaScript,React,,low
auth,backend,JavaScript,Kafka,integration,medium
payment,web,Python,PostgreSQL,network,critical
payment,router,Go,,integration,high
payment,web,Go,SpringBoot,integration,high
database,,TypeScript,PostgreSQL,performance,
notification,security,Go,SpringBoot,security,high
database,router,TypeScript,PostgreSQL,performance,high
gateway,queue,TypeScript,SpringBoot,performance,medium
,queue,JavaScript,PostgreSQL,performance,high
,ui,Python,Docker,network,critical
database,auth_sub,,Kafka,performance,critical
gateway,backend,TypeScript,PostgreSQL,security,critical
inventory,web,Java,Docker,performance,medium
reporting,,Java,Docker,network,high
analytics,auth_sub,JavaScript,Kafka,concurrency,medium
payment,backend,,SpringBoot,integration,
auth,api,Python,JWT,security,critical
auth,queue,Python,Docker,validation,high
,security,JavaScript,,performance,medium
database,database,TypeScript,PostgreSQL,performance,high
payment,api,,SpringBoot,integration,high
profile,backend,Go,React,network,
gateway,api,TypeScript,Docker,network,critical
database,router,TypeScript,Kafka,integration,medium
gateway,,JavaScript,PostgreSQL,validation,low
,auth_sub,Go,PostgreSQL,network,low
notification,,Python,PostgreSQL,concurrency,low
,queue,JavaScript,Kafka,,critical
gateway,router,,Docker,network,critical
auth,worker,Python,JWT,performance,low
payment,database,JavaScript,SpringBoot,,high
database,,Go,,performance,
,ui,TypeScript,SpringBoot,validation,high
,backend,JavaScript,JWT,performance,low
gateway,api,Java,SpringBoot,security,low
analytics,backend,,Kafka,concurrency,medium
auth,auth_sub,Python,JWT,security,critical
database,worker,Go,PostgreSQL,performance,high
payment,,Go,,performance,critical
gateway,security,TypeScript,Docker,,
notification,backend,JavaScript,Kafka,network,critical
payment,queue,Python,Docker,,low
payment,database,Go,PostgreSQL,,medium
database,security,Python,SpringBoot,concurrency,critical
inventory,,Java,Docker,,high
,router,Go,PostgreSQL,,high
payment,web,TypeScript,Kafka,integration,low
auth,,TypeScript,SpringBoot,concurrency,
,database,Java,JWT,performance,low
analytics,security,,Kafka,concurrency,medium
auth,database,,JWT,,critical
,router,TypeScript,React,integration,critical
reporting,database,JavaScript,JWT,performance,medium
reporting,auth_sub,,JWT,security,high
,security,Java,SpringBoot,integration,
analytics,security,Go,Docker,integration,medium
gateway,security,Java,Docker,network,critical
gateway,queue,Python,React,security,high
,auth_sub,Python,JWT,network,medium
database,queue,TypeScript,PostgreSQL,concurrency,medium
inventory,worker,TypeScript,React,concurrency,critical
gateway,,Go,React,integration,
database,auth_sub,TypeScript,PostgreSQL,performance,high
payment,queue,Go,SpringBoot,integration,high
,ui,Go,,security,critical
search,,TypeScript,,integration,low
auth,ui,TypeScript,React,performance,high
database,queue,JavaScript,,network,high
database,router,TypeScript,,integration,high
payment,queue,Python,Docker,integration,critical
payment,auth_sub,,SpringBoot,integration,high
database,queue,Java,PostgreSQL,performance,high
gateway,backend,,,network,critical
reporting,web,,PostgreSQL,validation,medium
,ui,Java,JWT,security,medium
database,auth_sub,,Kafka,performance,critical
auth,worker,Go,JWT,security,critical
reporting,,Go,SpringBoot,concurrency,low
payment,ui,Python,,concurrency,high
database,backend,TypeScript,PostgreSQL,performance,high
analytics,queue,Java,Kafka,concurrency,
notification,ui,JavaScript,,integration,medium
analytics,queue,,,concurrency,low
,ui,,JWT,security,
database,security,TypeScript,JWT,integration,high
database,backend,JavaScript,JWT,integration,low
,backend,JavaScript,React,performance,low
auth,security,Python,JWT,,critical
,queue,Java,SpringBoot,integration,high
database,,Go,SpringBoot,performance,critical
auth,api,Java,JWT,security,critical
analytics,web,Java,Kafka,concurrency,medium
gateway,database,Go,Docker,network,critical
database,security,JavaScript,PostgreSQL,performance,high
payment,auth_sub,Java,React,integration,critical
,ui,,Kafka,security,high
auth,router,JavaScript,SpringBoot,validation,medium
notification,backend,Python,PostgreSQL,security,medium
profile,web,,Kafka,security,high
,backend,Go,PostgreSQL,performance,high
gateway,ui,TypeScript,Docker,network,critical
profile,web,,SpringBoot,performance,high
database,security,Go,React,validation,
payment,,,PostgreSQL,security,high
,api,Python,SpringBoot,performance,critical
,ui,TypeScript,Kafka,integration,medium
gateway,security,JavaScript,Docker,network,
,ui,JavaScript,SpringBoot,,critical
notification,queue,JavaScript,Kafka,validation,high
analytics,auth_sub,Java,Docker,validation,high
search,,JavaScript,Kafka,performance,
payment,worker,TypeScript,PostgreSQL,network,critical
gateway,database,JavaScript,Docker,network,critical
reporting,security,TypeScript,JWT,security,medium
analytics,security,JavaScript,Kafka,concurrency,
auth,,JavaScript,JWT,,
profile,auth_sub,TypeScript,PostgreSQL,integration,low
payment,ui,Python,SpringBoot,integration,high
,backend,Java,SpringBoot,integration,high
notification,web,Python,SpringBoot,concurrency,
payment,,Java,JWT,network,
payment,router,,SpringBoot,integration,high
reporting,api,TypeScript,React,network,critical
payment,ui,Java,SpringBoot,integration,high
payment,api,Java,,integration,high
gateway,backend,Python,,,critical
,router,Go,,integration,medium
analytics,,Python,JWT,validation,
payment,,TypeScript,SpringBoot,,high
gateway,api,Python,Docker,network,critical
reporting,ui,Python,JWT,security,medium
search,,TypeScript,PostgreSQL,concurrency,low
analytics,auth_sub,Python,JWT,performance,low
inventory,router,Java,React,security,low
analytics,backend,,Kafka,concurrency,
,security,Python,,network,
gateway,queue,Python,Docker,network,critical
search,security,,JWT,security,low
analytics,security,Python,JWT,integration,medium
inventory,backend,JavaScript,PostgreSQL,validation,medium
auth,backend,JavaScript,React,,medium
gateway,queue,TypeScript,Docker,,critical
gateway,api,JavaScript,PostgreSQL,integration,critical
,database,TypeScript,SpringBoot,validation,high
database,web,JavaScript,React,validation,low
reporting,,,SpringBoot,,high
,web,,,network,medium
auth,database,,JWT,security,
,,TypeScript,SpringBoot,validation,critical
,,,,network,medium
analytics,router,JavaScript,JWT,security,high
,backend,Java,JWT,security,high
gateway,api,Go,Kafka,network,critical
auth,queue,Go,React,,high
auth,router,Java,Kafka,validation,
auth,api,JavaScript,,security,critical
profile,security,TypeScript,Docker,integration,high
,security,TypeScript,SpringBoot,integration,high
reporting,security,,React,network,critical
database,web,JavaScript,SpringBoot,integration,medium
payment,api,,,integration,high
reporting,router,Python,React,security,
inventory,backend,JavaScript,JWT,integration,critical
search,database,Go,PostgreSQL,,medium
database,security,Python,PostgreSQL,performance,high
auth,auth_sub,,SpringBoot,security,critical
analytics,,Python,Kafka,concurrency,medium
auth,router,Java,Docker,,high
gateway,security,Go,Docker,network,critical
,web,JavaScript,,network,high
auth,database,Java,JWT,security,critical
,web,,PostgreSQL,validation,medium
gateway,,TypeScript,Docker,network,critical
auth,api,Python,,,high
auth,router,Go,Kafka,network,medium
,,Python,Kafka,performance,
inventory,backend,TypeScript,PostgreSQL,integration,low
inventory,worker,JavaScript,JWT,validation,high
gateway,,Java,Docker,network,critical
analytics,web,Python,React,,low
database,ui,Python,PostgreSQL,performance,high
database,auth_sub,Java,Kafka,,high
search,web,Java,PostgreSQL,validation,critical
analytics,database,Python,Kafka,concurrency,medium
analytics,ui,,,concurrency,medium
,database,Java,Docker,network,critical
database,,Java,PostgreSQL,performance,high
auth,web,JavaScript,JWT,security,critical
reporting,api,Go,React,,critical
gateway,router,Go,Kafka,performance,
database,web,JavaScript,,performance,high
payment,backend,JavaScript,SpringBoot,integration,high
,backend,JavaScript,,performance,critical
database,web,TypeScript,Docker,network,high
analytics,api,JavaScript,Kafka,concurrency,medium
search,router,JavaScript,,performance,high
auth,queue,Python,JWT,security,critical
auth,worker,TypeScript,JWT,security,critical
payment,queue,Java,SpringBoot,security,medium
inventory,api,TypeScript,Docker,concurrency,high
auth,database,TypeScript,PostgreSQL,performance,
gateway,,TypeScript,Docker,network,critical
gateway,auth_sub,,Docker,network,critical
,ui,Java,,,low
auth,security,Java,,security,critical
,database,,SpringBoot,integration,high
profile,,Java,,security,high
auth,backend,Java,Docker,,medium
notification,security,TypeScript,React,validation,medium
,auth_sub,,React,network,low
payment,web,,SpringBoot,integration,
analytics,worker,TypeScript,,,high
,router,Java,Docker,,low
auth,worker,Java,,security,
gateway,ui,Java,Docker,network,critical
,router,Java,Kafka,performance,
auth,backend,Go,JWT,security,critical
,web,Python,JWT,security,
analytics,ui,TypeScript,,concurrency,
profile,,Java,Docker,integration,low
payment,,Go,SpringBoot,integration,high
profile,auth_sub,JavaScript,Docker,concurrency,medium
notification,backend,JavaScript,PostgreSQL,validation,critical
search,worker,JavaScript,JWT,performance,medium
payment,web,Python,SpringBoot,integration,high
search,,Go,Docker,,medium
inventory,security,TypeScript,SpringBoot,concurrency,high
inventory,worker,,Kafka,integration,medium
auth,backend,Python,Kafka,concurrency,
,router,Go,,network,high
analytics,worker,JavaScript,,validation,high
payment,backend,TypeScript,SpringBoot,integration,high
gateway,web,Go,,validation,high
database,auth_sub,TypeScript,Docker,network,critical
inventory,worker,TypeScript,React,concurrency,
,backend,Python,,validation,low
,database,Java,PostgreSQL,network,medium
inventory,auth_sub,JavaScript,Kafka,performance,
reporting,queue,TypeScript,,,medium
analytics,ui,Python,JWT,performance,high
analytics,queue,TypeScript,React,validation,low
payment,api,Python,JWT,integration,critical
,web,Python,Kafka,validation,critical
analytics,worker,Python,Kafka,,medium
notification,database,Java,React,integration,
gateway,router,,Docker,network,critical
payment,worker,,SpringBoot,integration,
payment,backend,,,integration,high
,ui,,PostgreSQL,performance,high
payment,worker,Java,PostgreSQL,concurrency,low
gateway,worker,,Docker,validation,medium
payment,security,Go,SpringBoot,integration,high
gateway,queue,,Docker,network,critical
,api,JavaScript,Docker,network,critical
gateway,queue,Java,,network,critical
analytics,backend,JavaScript,SpringBoot,validation,high
inventory,web,,PostgreSQL,integration,high
,worker,JavaScript,JWT,concurrency,
database,,Java,Docker,security,low
database,api,Java,Docker,performance,medium
profile,database,,PostgreSQL,performance,critical
database,web,Python,PostgreSQL,performance,high
analytics,database,TypeScript,SpringBoot,,high
gateway,web,Go,Docker,network,critical
database,api,JavaScript,PostgreSQL,performance,high
profile,router,TypeScript,SpringBoot,performance,
notification,router,Go,,validation,
database,backend,TypeScript,React,security,medium
notification,queue,JavaScript,JWT,performance,low
analytics,ui,,Kafka,concurrency,medium
payment,database,Python,,,high
payment,,JavaScript,SpringBoot,integration,high
search,auth_sub,TypeScript,JWT,network,medium
database,security,JavaScript,,security,critical
,backend,Java,SpringBoot,validation,
inventory,security,,PostgreSQL,integration,high
,,TypeScript,Kafka,,medium
,,Go,PostgreSQL,validation,medium
gateway,router,,,network,
payment,auth_sub,Python,Kafka,validation,high
auth,api,Go,,,critical
inventory,,Python,,security,
,queue,Java,React,,low
payment,security,JavaScript,PostgreSQL,performance,high
profile,worker,Python,SpringBoot,security,medium
inventory,,TypeScript,Kafka,concurrency,low
analytics,,,Kafka,validation,medium
profile,web,Python,,,low
database,,,PostgreSQL,,high
payment,security,TypeScript,JWT,security,low
payment,backend,,React,concurrency,low
gateway,database,Java,SpringBoot,security,
search,ui,Python,JWT,performance,high
gateway,web,,Kafka,integration,high
profile,router,Python,SpringBoot,security,critical
auth,security,TypeScript,JWT,security,
auth,security,Java,Kafka,,low
payment,worker,JavaScript,SpringBoot,integration,high
,,,SpringBoot,security,
gateway,worker,Java,Docker,network,critical
analytics,database,Java,,concurrency,
auth,ui,Go,Docker,,low
database,,TypeScript,SpringBoot,,high
gateway,,TypeScript,,,low
reporting,router,Java,PostgreSQL,validation,high
auth,auth_sub,Java,JWT,security,critical
,worker,Java,React,integration,low
inventory,ui,TypeScript,Docker,security,critical
search,,TypeScript,JWT,integration,critical
payment,queue,TypeScript,SpringBoot,integration,high
reporting,queue,JavaScript,PostgreSQL,performance,
notification,auth_sub,Go,SpringBoot,security,medium
notification,web,JavaScript,PostgreSQL,security,critical
search,security,,SpringBoot,network,low
payment,router,TypeScript,SpringBoot,integration,high
notification,worker,TypeScript,JWT,performance,medium
gateway,,TypeScript,Docker,network,critical
auth,worker,Python,JWT,security,critical
auth,security,Go,JWT,security,critical
payment,backend,TypeScript,JWT,security,
,worker,Python,React,integration,medium
auth,,TypeScript,JWT,security,critical
database,worker,Python,SpringBoot,integration,
gateway,,JavaScript,Docker,network,critical
database,auth_sub,,React,,low
auth,auth_sub,Go,JWT,,
profile,,Java,SpringBoot,network,low
,database,Go,PostgreSQL,performance,high
payment,database,Java,SpringBoot,,
profile,database,Java,JWT,,medium
profile,auth_sub,JavaScript,React,integration,low
notification,database,Java,PostgreSQL,performance,critical
search,,Java,Docker,network,medium
payment,security,,SpringBoot,integration,high
auth,,Python,JWT,security,critical
gateway,database,Python,Docker,concurrency,medium
payment,ui,,,integration,high
search,ui,Java,Docker,security,
notification,api,Python,JWT,performance,
,ui,Java,Docker,security,
notification,security,Python,PostgreSQL,validation,critical
profile,queue,TypeScript,SpringBoot,,high
auth,web,Java,JWT,,critical
,backend,Go,PostgreSQL,concurrency,medium
notification,queue,JavaScript,JWT,security,medium
gateway,,,SpringBoot,performance,high
database,api,Java,PostgreSQL,performance,medium
database,,Python,PostgreSQL,performance,high
reporting,worker,Go,Docker,,
gateway,backend,JavaScript,JWT,validation,critical
profile,,TypeScript,Docker,,low
notification,,Java,,,high
notification,ui,TypeScript,Kafka,security,low
database,backend,JavaScript,PostgreSQL,,high
,web,Python,PostgreSQL,performance,critical
auth,router,TypeScript,,security,critical
analytics,api,Python,Kafka,concurrency,medium
gateway,api,Java,Docker,,critical
,auth_sub,Go,,network,medium
inventory,security,TypeScript,JWT,performance,high
,auth_sub,JavaScript,React,integration,low
,api,Python,PostgreSQL,validation,high
auth,router,JavaScript,,security,critical
payment,router,JavaScript,SpringBoot,integration,
database,security,Go,PostgreSQL,,high
,database,,React,performance,low
payment,worker,Go,SpringBoot,integration,high
inventory,,Python,Kafka,,critical
reporting,,Python,Docker,performance,medium
gateway,worker,Go,Kafka,security,critical
analytics,worker,Java,Kafka,,medium
auth,backend,Python,PostgreSQL,network,high
profile,security,TypeScript,PostgreSQL,integration,critical
,worker,Go,Docker,network,critical
analytics,router,Python,Kafka,,medium
database,,Java,PostgreSQL,validation,medium
,backend,,React,integration,medium
analytics,,JavaScript,Kafka,concurrency,medium
analytics,database,TypeScript,,concurrency,medium
payment,web,TypeScript,SpringBoot,integration,high
payment,worker,,SpringBoot,integration,high
auth,security,,,performance,high
,queue,Java,Docker,,high
gateway,worker,JavaScript,Docker,,high
inventory,,JavaScript,Kafka,,high
payment,api,,SpringBoot,integration,high
profile,api,,PostgreSQL,integration,high
analytics,,Go,Kafka,concurrency,medium
payment,queue,Java,SpringBoot,security,low
notification,ui,Java,JWT,integration,critical
database,database,TypeScript,Docker,performance,medium
auth,api,JavaScript,PostgreSQL,performance,low
search,queue,JavaScript,Docker,integration,critical
gateway,worker,Python,Docker,network,critical
database,ui,Go,PostgreSQL,performance,high
gateway,database,,React,integration,high
,web,Python,PostgreSQL,performance,high
reporting,router,TypeScript,,,low
payment,,Python,,integration,
profile,api,Java,JWT,integration,critical
notification,,Go,SpringBoot,concurrency,high
analytics,database,Go,,concurrency,medium
inventory,,JavaScript,JWT,,
,backend,TypeScript,,security,critical
auth,api,JavaScript,PostgreSQL,,high
payment,,,SpringBoot,,high
search,queue,,Docker,network,
notification,,,PostgreSQL,network,critical
auth,queue,,JWT,security,critical
payment,worker,TypeScript,SpringBoot,,high
auth,auth_sub,TypeScript,JWT,,critical
,database,Go,PostgreSQL,,high
analytics,auth_sub,,Kafka,concurrency,medium
profile,security,Python,Kafka,network,medium
database,queue,Go,PostgreSQL,performance,high
profile,ui,Go,,security,critical
,auth_sub,TypeScript,Docker,network,
payment,,,SpringBoot,,high
gateway,web,Java,Docker,network,critical
database,,JavaScript,PostgreSQL,performance,high
,security,Python,Kafka,integration,low
reporting,backend,TypeScript,SpringBoot,concurrency,critical
auth,queue,Java,,concurrency,medium
analytics,security,TypeScript,Kafka,concurrency,medium
gateway,ui,TypeScript,JWT,validation,high
gateway,auth_sub,Java,SpringBoot,concurrency,medium
auth,ui,Python,SpringBoot,,
,web,Go,JWT,security,critical
,ui,Java,Docker,security,medium
,database,Go,,security,
gateway,auth_sub,TypeScript,Docker,network,critical
gateway,,JavaScript,SpringBoot,security,high
analytics,backend,Python,Kafka,concurrency,medium
profile,,Python,JWT,validation,high
reporting,router,Java,JWT,security,high
payment,auth_sub,JavaScript,React,performance,high
gateway,auth_sub,JavaScript,Docker,network,critical
auth,worker,JavaScript,SpringBoot,,low
auth,web,,Kafka,performance,low
payment,,Java,PostgreSQL,security,
,,,Kafka,,medium
,security,JavaScript,JWT,security,
database,,,Docker,performance,critical
gateway,router,,Docker,,critical
payment,queue,Java,React,integration,low
database,,Go,SpringBoot,validation,medium
auth,,JavaScript,JWT,security,critical
auth,,,Docker,validation,low
auth,ui,TypeScript,Kafka,security,low
,,Python,JWT,concurrency,high
reporting,api,JavaScript,Kafka,,critical
,web,Go,JWT,validation,low
search,queue,JavaScript,React,,critical
auth,queue,Go,JWT,security,critical
,backend,TypeScript,Docker,network,critical
reporting,auth_sub,Python,PostgreSQL,validation,critical
profile,,TypeScript,PostgreSQL,concurrency,low
,ui,,Kafka,concurrency,critical
profile,,Java,Kafka,network,critical
auth,router,,JWT,security,critical
database,router,Python,PostgreSQL,performance,critical
gateway,auth_sub,TypeScript,PostgreSQL,concurrency,low
auth,router,Java,JWT,security,
database,ui,Java,PostgreSQL,performance,
notification,,Python,,network,low
auth,,Go,Docker,integration,high
gateway,web,Python,SpringBoot,performance,low
search,auth_sub,Java,Docker,performance,high
payment,security,TypeScript,PostgreSQL,performance,high
analytics,api,TypeScript,Kafka,concurrency,medium
gateway,web,Python,Docker,network,
auth,,TypeScript,React,,medium
inventory,,TypeScript,Docker,validation,high
auth,,TypeScript,JWT,,
,queue,Java,JWT,security,critical
payment,database,TypeScript,Kafka,integration,critical
database,api,TypeScript,React,security,medium
inventory,api,Python,Docker,integration,medium
gateway,,JavaScript,SpringBoot,integration,low
inventory,,Python,Kafka,network,critical
auth,auth_sub,JavaScript,JWT,security,critical
payment,,JavaScript,SpringBoot,integration,high
database,database,JavaScript,PostgreSQL,performance,high
search,worker,Java,Kafka,concurrency,high
profile,api,JavaScript,React,validation,critical
,,Python,JWT,security,critical
analytics,web,Go,Kafka,concurrency,
database,,Go,Docker,concurrency,high
notification,auth_sub,Java,React,integration,medium
analytics,api,Java,Kafka,concurrency,medium
analytics,worker,TypeScript,Kafka,concurrency,medium
profile,queue,Python,React,network,critical
database,worker,,PostgreSQL,performance,high
,database,Go,Docker,concurrency,
database,api,TypeScript,PostgreSQL,performance,high
inventory,security,TypeScript,Docker,network,critical
analytics,worker,JavaScript,Kafka,concurrency,medium
database,security,Python,PostgreSQL,concurrency,
reporting,auth_sub,Go,JWT,,high
database,worker,Java,PostgreSQL,,
analytics,api,Java,SpringBoot,network,medium
payment,web,Java,SpringBoot,integration,high
database,router,,PostgreSQL,performance,high
notification,,JavaScript,PostgreSQL,security,low
inventory,api,Python,,network,
payment,security,Python,SpringBoot,integration,
analytics,queue,TypeScript,Kafka,concurrency,
,web,Python,Docker,security,low
analytics,security,,,concurrency,medium
notification,,JavaScript,PostgreSQL,security,low
,api,Python,PostgreSQL,validation,
,backend,Python,,security,critical
database,api,,PostgreSQL,performance,high
notification,worker,Go,Docker,,medium
inventory,backend,JavaScript,Kafka,concurrency,high
inventory,,JavaScript,Kafka,integration,high
payment,auth_sub,TypeScript,SpringBoot,integration,high
analytics,web,,Kafka,concurrency,medium
gateway,auth_sub,,,network,critical
,worker,TypeScript,React,integration,critical
,ui,,,validation,high
auth,backend,Java,JWT,security,
gateway,auth_sub,JavaScript,React,validation,critical
inventory,auth_sub,,JWT,,medium
,,Go,Docker,network,critical
gateway,router,Java,Docker,network,critical
analytics,security,Go,Kafka,,medium
notification,ui,Go,,concurrency,critical
payment,api,Python,Kafka,network,
gateway,auth_sub,Java,JWT,validation,low
database,security,Java,PostgreSQL,performance,high
gateway,web,Go,Kafka,,critical
inventory,web,,JWT,integration,low
analytics,web,Python,PostgreSQL,security,medium
gateway,,JavaScript,Docker,network,critical
analytics,auth_sub,,,concurrency,medium
search,,Python,React,validation,critical
search,ui,Python,React,integration,high
analytics,router,JavaScript,Kafka,,medium
database,,Python,PostgreSQL,,high
database,worker,Go,React,integration,
,auth_sub,Java,Kafka,,medium
profile,backend,JavaScript,,security,low
analytics,auth_sub,Java,JWT,security,low
,web,Java,PostgreSQL,performance,high
,web,TypeScript,Docker,performance,critical
gateway,worker,JavaScript,Docker,network,
inventory,,TypeScript,PostgreSQL,security,low
analytics,router,,Kafka,concurrency,medium
auth,backend,,PostgreSQL,performance,critical
inventory,ui,,Docker,validation,medium
gateway,database,Python,Docker,network,critical
database,,TypeScript,PostgreSQL,performance,high
database,router,Java,JWT,,critical
auth,web,JavaScript,,performance,critical
gateway,,Python,Docker,validation,
gateway,,Go,Docker,network,critical
,backend,Python,PostgreSQL,performance,high
reporting,auth_sub,TypeScript,PostgreSQL,validation,medium
payment,,JavaScript,,integration,high
search,queue,JavaScript,React,network,
notification,auth_sub,JavaScript,React,network,critical
database,auth_sub,JavaScript,PostgreSQL,,
search,worker,TypeScript,JWT,network,
search,,Java,,concurrency,high
payment,auth_sub,Go,SpringBoot,integration,high
payment,router,TypeScript,Kafka,,medium
gateway,api,Go,JWT,performance,critical
search,auth_sub,JavaScript,Docker,security,low
,worker,Go,PostgreSQL,network,medium
database,database,Java,PostgreSQL,performance,high
notification,worker,Go,SpringBoot,integration,high
analytics,ui,Java,,concurrency,medium
analytics,queue,JavaScript,Kafka,concurrency,medium
analytics,router,JavaScript,Kafka,concurrency,
auth,queue,,JWT,,critical
auth,auth_sub,TypeScript,SpringBoot,performance,critical
database,api,Java,Docker,security,
payment,,Go,SpringBoot,integration,high
gateway,queue,Java,React,integration,medium
analytics,,,Kafka,concurrency,medium
reporting,backend,Go,SpringBoot,validation,
,router,JavaScript,React,security,high
database,api,,PostgreSQL,performance,high
database,,TypeScript,SpringBoot,performance,high
analytics,,,Kafka,,high
gateway,ui,Go,Docker,network,critical
analytics,router,Go,Kafka,concurrency,
profile,,Java,Docker,integration,medium
,backend,Java,,validation,high
payment,auth_sub,Python,JWT,validation,
notification,web,JavaScript,,validation,critical
analytics,router,Java,PostgreSQL,network,low
analytics,queue,Go,Kafka,concurrency,medium
,ui,Java,JWT,security,critical
database,api,,PostgreSQL,performance,high
database,worker,TypeScript,PostgreSQL,performance,
payment,security,Go,JWT,security,critical
database,auth_sub,Go,PostgreSQL,performance,high
gateway,router,JavaScript,JWT,validation,
search,queue,Python,,network,critical
payment,auth_sub,Java,React,security,
search,backend,,Kafka,performance,medium
search,auth_sub,Python,SpringBoot,integration,low
database,worker,JavaScript,,performance,high
analytics,ui,,Kafka,concurrency,medium
analytics,security,TypeScript,PostgreSQL,network,medium
,queue,JavaScript,PostgreSQL,validation,critical
database,queue,Python,,security,critical
auth,api,TypeScript,Kafka,concurrency,critical
gateway,,JavaScript,Docker,network,critical
auth,ui,TypeScript,JWT,,critical
inventory,web,Go,JWT,concurrency,
analytics,router,Java,Kafka,concurrency,medium
profile,ui,Python,SpringBoot,validation,critical
notification,queue,Go,Docker,network,critical
auth,security,TypeScript,Kafka,,low
,,Java,,integration,
analytics,,Go,Kafka,concurrency,medium
analytics,api,,JWT,,medium
reporting,database,Python,Docker,performance,low
payment,,Java,,security,critical
notification,auth_sub,,PostgreSQL,network,medium
gateway,auth_sub,Go,Docker,network,critical
auth,queue,Java,SpringBoot,performance,critical
reporting,api,Python,,concurrency,high
,web,Python,SpringBoot,concurrency,low
profile,,JavaScript,JWT,validation,critical
analytics,web,Python,Kafka,concurrency,medium
auth,security,TypeScript,,,critical
,backend,Java,PostgreSQL,performance,
,database,Go,React,concurrency,high
analytics,auth_sub,Go,Kafka,integration,critical
payment,,,SpringBoot,security,low
profile,auth_sub,JavaScript,SpringBoot,integration,medium
inventory,queue,Go,React,network,critical
database,web,TypeScript,,performance,high
database,,JavaScript,SpringBoot,,low
payment,database,Java,PostgreSQL,,low
payment,worker,Python,React,network,medium
analytics,backend,Go,Kafka,concurrency,
reporting,web,Go,PostgreSQL,integration,
database,queue,Python,PostgreSQL,performance,high
profile,ui,JavaScript,JWT,security,medium
,web,TypeScript,SpringBoot,integration,low
payment,security,JavaScript,React,validation,low
auth,database,JavaScript,JWT,,critical
